SI_SUP39	Supply of (server room sensor - 3 Nos)	Released	Mane India Private Limited (Gujarat)
SI_SUP106	Supply of CBS350-24T (1 Nos) & Implement	Released	Wipro GE Healthcare Private Limited
SI_SUP191	Supply of cisco SFP Module - MAK	Released	Mak Controls and Systems Pvt Ltd
SI_SUP56	Supply of Cisco switch_CBS350_24P NonPoE	Released	Medvarsity Online Limited
SI_SUP148	Supply of cisco-240595	Released	Manipal Hospitals Private Limited
SI_SUP54	Supply of HP laptop (2) & Desktop (2)	Released	SANNITHA EDUCATIONAL INSTITUTIONS PRIVATE LIMITED
SI_SUP50	Supply of HP Laserjet M 208DW Printer	Released	GOVEL TRUST Aravind Eye Hospitals,
SI_SUP37	Supply of HP printer ((208)-1Nos	Released	GOVEL TRUST Aravind Eye Hospitals,
SI_SUP38	Supply of HP printer (202 dw)	Released	GOVEL TRUST Aravind Eye Hospitals,
SI_SUP192	Supply of IOT switch - 250395	Released	Sona Comstar
SI_SUP21	Supply of laserjet Printer	Released	GOVEL TRUST Aravind Eye Hospitals,
SI_SUP46	Supply of license_UTP_Ahmed_Safe City	Released	Larsen & Toubro Limited (Gujarat)
SI_SUP84	Supply of meraki AP and Router-230911	Released	Manipal Health Enterprises Pvt. Ltd.
SI_SUP30	Supply of microfocus EMS-210140	Released	Larsen & Toubro Limited (Uttar Pradesh)
SI_SUP119	Supply of N/W FW (Palo Alto_440)	Released	GKB VISION PRIVATE LIMITED - GOA
MS_SEC9	Supply of Netcon-MDR	Released	Netcon Technologies LLC
SI_IMP116	Supply of Network Rack -240435	Released	EASTVANTAGE PRIVATE LIMITED
SI_O-M2	Supply of Rental Servers	Released	ESAF SMALL FINANCE BANK
SI_O-M16	Supply of Rental Switches	Released	KERALA UNIVERSITY OF DIGITAL SCIENCES, INNOVATION AND TECHNO
SI_SUP92	Supply of ruckus hardware-switch-230932	Released	CHAITANYA INDIA FIN CREDIT PVT LTD
EA_IMP3	supply of server for SIPCOT WMP	Released	YAVAR TECH WORKS PRIVATE LIMITED
SI_SUP89	Supply of Sophos FW_36 Nos	Released	Samhitha Crop Care Clincs India Private Ltd
SI_SUP51	Supply_Firewall (80F) & APs (231-3nos)	Released	SPACE TELELINK LIMITED
SI_SUP45	Supply_Fortinet Firewall_Ahmad Safe City	Released	Larsen & Toubro Limited (Gujarat)
SI_SUP115	Supply_OneDrive_business (Plan 2) subscr	Released	EZ Vidya Pvt Ltd
SI_SUP114	Supply_QNAP_Ganga CARE Hospital_Nagpur	Released	GANGA CARE HOSPITAL LIMITED
SI_SUP116	Supply_Sapphire IMS Ent Platform&Support	Released	COROMANDEL INTERNATIONAL LIMITED
SI_SUP118	Supply_Software Licenses (VPN Solution)	Released	Larsen & Toubro Limited (Andhra Pradesh)
SI_SUP31	Supply,Warranty HP Servers-190107	Released	Larsen & Toubro Limited (Uttar Pradesh)
SI_SUP100	SupplySFP module,Fc,PatchCord-240036	Released	CHAITANYA INDIA FIN CREDIT PVT LTD
SI_IMP11	Switch supply	Released	KERALA UNIVERSITY OF DIGITAL SCIENCES, INNOVATION AND TECHNO
SI_AMC3	T-Fiber AMC	Released	Larsen & Toubro Limited (Telangana)
SI_AMC76	T-Fiber Cisco Firewall license	Released	Larsen & Toubro Limited (Telangana)
DC_AMC8	T-FIBER DC Passive Infra AMC	Released	Larsen & Toubro Limited (Telangana)
DC_IMP21	T-Fiber GP Implementation, STL	Released	NEXN COMMUNICATIONS PRIVATE LIMITED
SP_PROF_SER3	T1 - WSM Project	Released	Bangalore International Airport Limited
SP_PROF_SER4	T1-AS- Additional-230924	Released	Avacend Solutions Private Limited
SP_IMP21	T2-Addon	Released	Bangalore International Airport Limited
SP_IMP49	TANFINET - SITC - 250184	Released	Railtel Corporation of India Ltd.
SI_SUP52	TANFINET - Supply_Redhat_SW & License	Released	Larsen & Toubro Limited (Tamilnadu)
DC_IMP5	TANFINET Block & GP implementation	Released	Larsen & Toubro Limited (Tamilnadu)
